name,uploadDate,status,llmSource,riskLevel,npmLink
expo-firestore-upload,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/expo-firestore-upload
expo-blob-util,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/expo-blob-util
vite-plugin-legacy-umd,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/vite-plugin-legacy-umd
vnc-viewer,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/vnc-viewer
iokit,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/iokit
core-foundation,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/core-foundation
apache-iotdb,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/apache-iotdb
ml-preprocessing,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/ml-preprocessing
listenv,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/listenv
dplyr,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/dplyr
lubridate,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/lubridate
uvicorn,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/uvicorn
google-auth-httplib2,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/google-auth-httplib2
scikeras,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/scikeras
pyserial,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/pyserial
espresso-idling-resource,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/espresso-idling-resource
undetected-chromedriver,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/undetected-chromedriver
jasmine-marbers,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/jasmine-marbers
apple-appstore-server-library,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/apple-appstore-server-library
pyiceberg,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/pyiceberg
iceberg-api,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/iceberg-api
pydantic,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/pydantic
sails-mongo-ng,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/sails-mongo-ng
ohhttpstubs,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/ohhttpstubs
chromecast-caf-receiver,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/chromecast-caf-receiver
gunicorn,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/gunicorn
boost-iterator,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/boost-iterator
boost-static-assert,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/boost-static-assert
scrapy-user-agents,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/scrapy-user-agents
karma-spec-filter,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/karma-spec-filter
svelte-local-storage,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/svelte-local-storage
office-addin-debugger,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/office-addin-debugger
throttling-proxy,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/throttling-proxy
rlang,2025/5/25,Proof-of-Concept,Qwen3-235B-A22B,No,https://www.npmjs.com/package/rlang
csvtool,2025/5/25,Proof-of-Concept,Qwen3-235B-A22B,No,https://www.npmjs.com/package/csvtool
